,Planet_Name,Rp,Mp,Tday,Teq,log10g_p,Period,Transit_Duration,K_mag,Distance,Teff,log10g_s,Transit_Flag,Catalog_Name,Rs,Signal Size_mu2.3,Signal Size_mu20,SNR_HD209458b,SNR_LTT1445Ab,atmSNR,atmNtran_5s,Int Ntran_5s,Hours_5s,atmNtran_4s,Int Ntran_4s,Hours_4s
51,TOI 203.01,0.11,0.006447453,222,187,,51.9532,6.3155,9.7,24.79,3209,5.011,TRUE,toi,0.241,28.64684259,3.294386898,0.005824467,0.234764054,0.959017485,27.18234736,27,457.8444,17.39670231,17,288.2724
52,TOI 789.01,0.1,0.004605137,583,490,,5.4467,1.5825,9.7,43.41,3461,4.854,TRUE,toi,0.373,32.96212802,3.790644722,0.003354769,0.135219109,0.552373703,81.9358604,82,459.036,52.43895066,52,291.096
53,KOI 1725.01,0.14,0.012141,511,430,3.169,9.8786,1.8915,9.8,,3609,4.843,TRUE,exoplanets.org,0.422,23.5208274,2.704895151,0.002499374,0.100741111,0.411530153,147.6171054,148,938.2608,94.47494748,94,595.9224
54,K2-239 b,0.1,0.0043,560,471,3.045,5.24,1.4664,10,49,3420,4.9,TRUE,nexsci,0.36,36.42728834,4.189138159,0.003108341,0.125286431,0.511798447,95.44256052,95,505.3392,61.08323873,61,324.48096
55,K2-239 c,0.09,0.00306,490,412,2.981,7.775,1.248,10,49,3420,4.9,TRUE,nexsci,0.36,32.64207135,3.753838205,0.002569571,0.103570476,0.423088184,139.6619868,140,671.328,89.38367156,89,426.7728
56,K2-239 d,0.1,0.0043,450,378,3.045,10.115,1.8384,10,49,3420,4.9,TRUE,nexsci,0.36,29.23463905,3.361983491,0.002793144,0.112581936,0.45990024,118.1987101,118,733.03488,75.64717448,76,472.12416
57,TOI 2094.01,0.14,0.00970973,387,325,,18.7917,1.4945,10,50.02,3457,4.848,TRUE,toi,0.376775,27.88531563,3.206811297,0.002402144,0.096822099,0.395520883,159.8089773,160,861.888,102.2777455,102,549.4536
58,K2-151 b,0.13,0.00889,736,619,3.095,3.8355,1.644794839,10.1,69.61,3695,4.8,TRUE,nexsci,0.45,32.55916891,3.744304425,0.00280999,0.113260936,0.462673976,116.7857528,117,672.4583909,74.74288177,75,431.0630711
59,KOI 5162.01,0.08,0.002619,132,111,2.956,628.1584,12.144,10.2,,3697,4.829,TRUE,exoplanets.org,0.423,5.227043327,0.601109983,0.001170611,0.04718326,0.19274489,672.9367746,673,20826.3888,430.6795358,431,13337.5536
60,K2-133 b,0.12,0.00742,795,669,3.106,3.0713,1.22,10.3,75.2,3655,,TRUE,nexsci,0.46,31.73435536,3.649450867,0.002151222,0.086708279,0.354205655,199.2640848,199,940.872,127.5290142,128,605.184
61,K2-133 c,0.14,0.0101,682,574,3.088,4.8678,1.62,10.3,75.2,3655,,TRUE,nexsci,0.46,31.76423173,3.652886649,0.002481255,0.100010784,0.408546747,149.7809204,150,853.2,95.85978903,96,546.048
62,K2-133 e,0.15,0.0115,387,326,3.08,26.5841,1.44,10.3,75.2,3655,,TRUE,nexsci,0.46,19.4875511,2.241068376,0.001435205,0.057848151,0.236311255,447.68361,448,2354.688,286.5175104,287,1508.472
63,K2-148 c,0.15,0.0115,748,629,3.08,6.9226,2.516233316,10.3,121,4079,4.65,TRUE,nexsci,0.63,20.04586848,2.305274876,0.001951533,0.078659521,0.321326264,242.1294185,242,1897.02831,154.9628278,155,1215.038794
64,K2-148 d,0.15,0.0105,667,561,3.087,9.7579,2.822394245,10.3,121,4079,4.65,TRUE,nexsci,0.63,19.58148543,2.251870825,0.002018971,0.081377706,0.33243012,226.2243115,226,1937.666638,144.7835594,145,1243.193197
65,KOI 3444.01,0.07,0.001188,525,442,2.807,12.6714,2.498,10.3,,3705,4.721,TRUE,exoplanets.org,0.529,19.65477145,2.260298717,0.001906513,0.076844924,0.313913584,253.6996047,254,1979.9808,162.367747,162,1262.8224
66,KOI 3444.04,0.07,0.001082,506,426,2.789,14.1502,1.503,10.3,,3705,4.721,TRUE,exoplanets.org,0.529,20.79909831,2.391896306,0.001564947,0.063077572,0.25767358,376.5305553,377,2038.5144,240.9795554,241,1303.1352
67,TRAPPIST-1 b,0.1,0.00267,482,406,2.847,1.5109,0.6067,10.3,12.43,2559,,TRUE,nexsci,0.12,455.1260287,52.3394933,0.02175676,0.876939516,3.582321544,1.948098351,2,6.51216,1.246782945,1,3.25608
68,TRAPPIST-1 c,0.09,0.00434,412,347,3.085,2.4218,0.7062,10.3,12.43,2559,,TRUE,nexsci,0.12,174.4553028,20.06235982,0.008997536,0.362659452,1.48147363,11.39074574,11,38.44368,7.290077273,7,24.46416
69,TRAPPIST-1 d,0.07,0.00129,347,292,2.827,4.0496,0.8188,10.3,12.43,2559,,TRUE,nexsci,0.12,232.3828975,26.72403321,0.012905316,0.5201685,2.124902333,5.536841123,6,22.59072,3.543578319,4,15.06048
70,TRAPPIST-1 e,0.08,0.00195,303,255,2.857,6.0996,0.9535,10.3,12.43,2559,,TRUE,nexsci,0.12,200.3975609,23.04571951,0.012009594,0.484065075,1.977418869,6.393558757,6,24.5304,4.091877604,4,16.3536
71,TRAPPIST-1 f,0.09,0.00214,264,222,2.788,9.2067,1.043,10.3,12.43,2559,,TRUE,nexsci,0.12,226.3516323,26.03043772,0.014187352,0.571842928,2.335993763,4.581383537,5,21.516,2.932085464,3,12.9096
72,TRAPPIST-1 g,0.1,0.00422,239,201,3.011,12.3529,1.14,10.3,12.43,2559,,TRUE,nexsci,0.12,142.560926,16.39450649,0.009341755,0.376533744,1.538150487,10.56677242,11,49.896,6.762734348,7,31.752
73,TRAPPIST-1 h,0.07,0.00104,204,172,2.759,18.767,1.26,10.3,12.43,2559,,TRUE,nexsci,0.11,202.0613502,23.23705528,0.013920155,0.561073158,2.291998965,4.758950354,5,24.12,3.045728226,3,14.472
