,Planet_Name,SNR_Emission_15_micron,SNR_Emission_5_micron,SNR_Transmission_K_mag,Rp,Mp,Tday,Teq,log10g_p,Period,Transit_Duration,K_mag,Distance,Teff,log10g_s,Transit_Flag,Catalog_Name,Rs,Signal Size_mu2.3,Signal Size_mu20,SNR_HD209458b,SNR_LTT1445Ab,atmSNR,atmNtran
59,KOI 5162.01,0.0,0.0,0.012,0.08,0.002619,132,111,2.9560000000000004,628.1584,12.144,10.2,,3697,4.829,True,exoplanets.org,0.423,5.227043327007431,0.6011099826058545,0.0011706108060817364,0.04718326049395219,0.19274489010242396,672.9367746134707
60,K2-133 b,0.0,0.001,0.019,0.12,0.00742,795,669,3.1060000000000003,3.0713,1.22,10.3,75.2,3655,,True,nexsci,0.46,31.73435536169709,3.6494508665951653,0.002151221578563526,0.08670827878423558,0.3542056545113069,199.26408475633718
61,K2-133 c,0.0,0.001,0.023,0.14,0.0101,682,574,3.088,4.8678,1.62,10.3,75.2,3655,,True,nexsci,0.46,31.764231730627788,3.6528866490221947,0.0024812550758142185,0.10001078410163666,0.40854674706505334,149.78092035692052
62,K2-133 e,0.0,0.0,0.014,0.15,0.0115,387,326,3.08,26.5841,1.44,10.3,75.2,3655,,True,nexsci,0.46,19.48755109617604,2.241068376060244,0.0014352054092142492,0.05784815101096623,0.2363112551466484,447.6836099872908
63,K2-148 c,,,,0.15,0.0115,748,629,3.08,6.9226,2.516233315971525,10.3,121.0,4079,4.65,True,nexsci,0.63,20.045868484721964,2.305274875743026,0.001951532914456237,0.07865952149674674,0.3213262641809806,242.12941847726128
64,K2-148 d,,,,0.15,0.0105,667,561,3.087,9.7579,2.8223942448102566,10.3,121.0,4079,4.65,True,nexsci,0.63,19.581485431021843,2.2518708245675114,0.002018970727877164,0.08137770579954906,0.33243012027818525,226.22431153787375
65,KOI 3444.01,0.0,0.0,0.015,0.07,0.001188,525,442,2.807,12.6714,2.498,10.3,,3705,4.721,True,exoplanets.org,0.529,19.654771448131207,2.2602987165350887,0.0019065129723815988,0.07684492381552392,0.3139135837730161,253.69960473408466
66,KOI 3444.04,0.0,0.0,0.011,0.07,0.001082,506,426,2.789,14.1502,1.5030000000000001,10.3,,3705,4.721,True,exoplanets.org,0.529,20.79909831099151,2.3918963057640243,0.0015649466889219893,0.06307757189574284,0.25767358032688437,376.5305552975347
67,TRAPPIST-1 b,0.0,0.001,0.173,0.1,0.00267,482,406,2.847,1.5109,0.6067,10.3,12.43,2559,,True,nexsci,0.12,455.1260286528938,52.33949329508278,0.0217567599759262,0.8769395157768953,3.5823215442382534,1.9480983513022807
68,TRAPPIST-1 c,0.0,0.0,0.08900000000000001,0.09,0.00434,412,347,3.085,2.4218,0.7062,10.3,12.43,2559,,True,nexsci,0.12,174.45530278253926,20.062359819992015,0.008997535753523286,0.3626594518490163,1.4814736298311482,11.390745738486027
69,TRAPPIST-1 d,0.0,0.0,0.108,0.07,0.00129,347,292,2.827,4.0496,0.8188,10.3,12.43,2559,,True,nexsci,0.12,232.38289751360827,26.724033214064946,0.012905315581101863,0.520168499774871,2.1249023334600046,5.536841122695975
70,TRAPPIST-1 e,0.0,0.0,0.113,0.08,0.00195,303,255,2.857,6.0996,0.9535,10.3,12.43,2559,,True,nexsci,0.12,200.3975609239121,23.045719506249892,0.01200959410658168,0.4840650745862932,1.9774188690397054,6.393558756737028
71,TRAPPIST-1 f,0.0,0.0,0.136,0.09,0.00214,264,222,2.7880000000000003,9.2067,1.043,10.3,12.43,2559,,True,nexsci,0.12,226.35163231560367,26.030437716294433,0.014187351687434631,0.5718429275637492,2.3359937629416447,4.581383537310443
72,TRAPPIST-1 g,0.0,0.0,0.084,0.1,0.004220000000000001,239,201,3.011,12.3529,1.14,10.3,12.43,2559,,True,nexsci,0.12,142.56092603667057,16.394506494217115,0.009341755211959502,0.3765337440476732,1.5381504871971585,10.566772418347952
73,TRAPPIST-1 h,0.0,0.0,0.08900000000000001,0.07,0.00104,204,172,2.759,18.767,1.26,10.3,12.43,2559,,True,nexsci,0.11,202.06135022636897,23.237055276032425,0.013920155055217051,0.5610731582813117,2.2919989653155257,4.758950353849744
