,Planet_Name,SNR_Emission_15_micron,SNR_Emission_5_micron,SNR_Transmission_K_mag,Rp,Mp,Tday,Teq,log10g_p,Period,Transit_Duration,K_mag,Distance,Teff,log10g_s,Transit_Flag,Catalog_Name,Rs,Signal Size_mu2.3,Signal Size_mu20,SNR_HD209458b,SNR_LTT1445Ab
51,TOI 203.01,0.0,0.0,,0.11,0.006447453350840467,222,187,,51.9532,6.3155,9.7,24.79,3209,5.011,True,toi,0.241,28.646842589673806,3.2943868978124877,0.005824466892566731,0.23476405411824597
52,TOI 789.01,0.0,0.001,,0.1,0.004605137141274627,583,490,,5.4467,1.5825,9.7,43.41,3461,4.854,True,toi,0.373,32.96212801850863,3.7906447221284925,0.0033547692275004764,0.13521910914873056
53,KOI 1725.01,0.0,0.0,0.023,0.14,0.012140999999999999,511,430,3.1689999999999996,9.8786,1.8915,9.8,,3609,4.843,True,exoplanets.org,0.422,23.520827398977133,2.7048951508823698,0.0024993744008272307,0.10074111123309819
54,K2-239 b,0.0,0.0,0.026000000000000002,0.1,0.0043,560,471,3.045,5.24,1.4664,10.0,49.0,3420,4.9,True,nexsci,0.36,36.42728833982635,4.189138159080029,0.0031083407281720533,0.12528643125396072
55,K2-239 c,0.0,0.0,0.022000000000000002,0.09,0.0030600000000000002,490,412,2.9810000000000003,7.775,1.248,10.0,49.0,3420,4.9,True,nexsci,0.36,32.64207134913042,3.753838205149997,0.0025695705844719797,0.10357047587024659
56,K2-239 d,0.0,0.0,0.023,0.1,0.0043,450,378,3.045,10.115,1.8384,10.0,49.0,3420,4.9,True,nexsci,0.36,29.23463904979694,3.3619834907266477,0.0027931437756661417,0.1125819355840755
57,TOI 2094.01,,,,0.14,0.009709729693033964,387,325,,18.7917,1.4945,10.0,50.02,3457,4.848,True,toi,0.376775,27.885315627790856,3.206811297195948,0.002402144196592437,0.09682209901276323
58,K2-151 b,,,,0.13,0.00889,736,619,3.095,3.8355,1.6447948394329364,10.1,69.61,3695,4.8,True,nexsci,0.45,32.559168914015544,3.7443044251117863,0.002809989698331253,0.11326093628459816
59,KOI 5162.01,0.0,0.0,0.012,0.08,0.0026190000000000002,132,111,2.9560000000000004,628.1584,12.144,10.2,,3697,4.829,True,exoplanets.org,0.423,5.227043327007431,0.6011099826058545,0.0011706108060817362,0.04718326049395219
60,K2-133 b,0.0,0.001,0.019,0.12,0.00742,795,669,3.1060000000000003,3.0713,1.22,10.3,75.2,3655,,True,nexsci,0.46,31.734355361697087,3.649450866595165,0.002151221578563526,0.08670827878423557
61,K2-133 c,0.0,0.001,0.023,0.14,0.0101,682,574,3.088,4.8678,1.62,10.3,75.2,3655,,True,nexsci,0.46,31.764231730627788,3.652886649022195,0.0024812550758142185,0.10001078410163666
62,K2-133 e,0.0,0.0,0.013999999999999999,0.15,0.0115,387,326,3.08,26.5841,1.44,10.3,75.2,3655,,True,nexsci,0.46,19.487551096176038,2.241068376060244,0.0014352054092142492,0.05784815101096622
63,K2-148 c,,,,0.15,0.0115,748,629,3.08,6.9226,2.516233315971525,10.3,121.0,4079,4.65,True,nexsci,0.63,20.045868484721964,2.305274875743026,0.001951532914456237,0.07865952149674674
64,K2-148 d,,,,0.15,0.0105,667,561,3.0869999999999997,9.7579,2.8223942448102566,10.3,121.0,4079,4.65,True,nexsci,0.63,19.581485431021843,2.2518708245675114,0.002018970727877164,0.08137770579954906
65,KOI 3444.01,0.0,0.0,0.015,0.07,0.001188,525,442,2.807,12.6714,2.498,10.3,,3705,4.721,True,exoplanets.org,0.529,19.654771448131207,2.2602987165350887,0.0019065129723815988,0.07684492381552392
66,KOI 3444.04,0.0,0.0,0.011000000000000001,0.07,0.001082,506,426,2.7889999999999997,14.1502,1.503,10.3,,3705,4.721,True,exoplanets.org,0.529,20.79909831099151,2.3918963057640243,0.0015649466889219893,0.06307757189574284
67,TRAPPIST-1 b,0.0,0.001,0.17300000000000001,0.1,0.00267,482,406,2.847,1.5109,0.6067,10.3,12.43,2559,,True,nexsci,0.12,455.1260286528938,52.339493295082775,0.0217567599759262,0.8769395157768953
68,TRAPPIST-1 c,0.0,0.0,0.08900000000000001,0.09,0.00434,412,347,3.085,2.4218,0.7062,10.3,12.43,2559,,True,nexsci,0.12,174.45530278253926,20.062359819992018,0.008997535753523286,0.3626594518490163
69,TRAPPIST-1 d,0.0,0.0,0.10800000000000001,0.07,0.0012900000000000001,347,292,2.827,4.0496,0.8188,10.3,12.43,2559,,True,nexsci,0.12,232.38289751360827,26.724033214064942,0.012905315581101862,0.520168499774871
70,TRAPPIST-1 e,0.0,0.0,0.113,0.08,0.00195,303,255,2.8569999999999998,6.0996,0.9535,10.3,12.43,2559,,True,nexsci,0.12,200.39756092391212,23.045719506249892,0.01200959410658168,0.48406507458629316
71,TRAPPIST-1 f,0.0,0.0,0.136,0.09,0.00214,264,222,2.7880000000000003,9.2067,1.043,10.3,12.43,2559,,True,nexsci,0.12,226.3516323156037,26.03043771629443,0.014187351687434631,0.5718429275637492
72,TRAPPIST-1 g,0.0,0.0,0.084,0.1,0.004220000000000001,239,201,3.011,12.3529,1.14,10.3,12.43,2559,,True,nexsci,0.12,142.56092603667057,16.394506494217115,0.009341755211959502,0.3765337440476732
73,TRAPPIST-1 h,0.0,0.0,0.08900000000000001,0.07,0.0010400000000000001,204,172,2.759,18.767,1.26,10.3,12.43,2559,,True,nexsci,0.11,202.06135022636897,23.237055276032425,0.013920155055217053,0.5610731582813117
